title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Clione	Bits	Bits	3500	4500	9000	29.261	27.5805									FALSE	4	NP	F	0	-	264		FALSE	5	NP	F	0	-	479		TRUE	9	FC	AAA	1545	0	811		TRUE	11	EX	AAA	2018	9	1102	2.92610000E+001	FALSE	3	NP	F	0	-	264		FALSE	4	NP	F	0	-	477		TRUE	9	EX	AAA	1857	4	1010		TRUE	11	HC	AA	2043	23	1203	2.75805000E+001	
DXY!	Sub	TRI3	0	0	0	28.672	27.0625									FALSE	6	FC	AAA	1244	0	651		FALSE	9	NP	F	0	-	968		TRUE	10	EX	AA	2048	4	1158	2.86720000E+001									FALSE	6	FC	AAA	1475	1	781		FALSE	12	NC	AA	2165	47	1332	2.70625000E+001	TRUE	12	F	A	2051	135	1529										
empathy	Bits	Bits	4500	9000	4000	20.835	21.384									FALSE	5	NP	F	0	-	416		FALSE	7	NP	F	0	-	703		TRUE	8	FC	AAA	1389	0	743	2.08350000E+001									FALSE	4	NP	F	0	-	411		FALSE	11	HC	AA	1584	40	961	2.13840000E+001																	
era (step mix)	Bits	Bits	4500	8000	10500	24.015	21.0795									FALSE	5	NP	F	0	-	565		FALSE	8	NP	F	0	-	733		TRUE	9	FC	AAA	1601	1	875	2.40150000E+001									FALSE	4	NP	F	0	-	503		FALSE	8	NP	F	0	-	728		TRUE	12	EC	A	1833	85	1226	2.10795000E+001									
HIGHER	Bits	Bits	3500	5000	6500	18.57	16.936									FALSE	3	FC	AAA	518	0	270		FALSE	4	NP	F	0	-	468		TRUE	6	FC	AAA	1238	0	641	1.85700000E+001									FALSE	4	NP	F	0	-	362		FALSE	6	NP	F	0	-	578		TRUE	7	EX	AAA	1168	5	611	1.69360000E+001									
KAMIKAZE	Bits	Bits	5000	6500	10000	31.89	29.008									FALSE	5	NP	F	0	-	515		FALSE	6	NP	F	0	-	745		TRUE	10	FC	AAA	2126	1	1157	3.18900000E+001									FALSE	5	NP	F	0	-	512		FALSE	7	NP	F	0	-	745		TRUE	10	HC	AAA	2072	22	1156	2.90080000E+001									
LOVE WILL・・・	Base	Base	0	0	0	21.435	20.4885									FALSE	4	NP	F	0	-	279		FALSE	4	NP	F	0	-	379		TRUE	7	FC	AAA	1429	0	732	2.14350000E+001									FALSE	4	NP	F	0	-	330		FALSE	6	NP	F	0	-	529		TRUE	8	EX	AAA	1413	2	726	2.04885000E+001									
minimalian	Bits	Bits	3000	8500	10500	20.16	17.061									FALSE	3	NP	F	0	-	271		FALSE	8	NP	F	0	-	555		TRUE	9	FC	AAA	1344	0	706	2.01600000E+001									FALSE	3	NP	F	0	-	263		FALSE	9	EX	AA	1085	7	626		TRUE	12	F	A	1551	83	1015	1.70610000E+001									
starmine	Bits	Bits	5000	8000	10500	22.965	26.028									FALSE	5	NP	F	0	-	456		FALSE	8	NP	F	0	-	719		TRUE	9	FC	AAA	1531	0	800	2.29650000E+001									FALSE	5	NP	F	0	-	566		FALSE	8	NP	F	0	-	796		TRUE	12	HC	AA	1928	33	1098	2.60280000E+001									
Voltage (feat. Hidemaru)	Bits	Bits	5000	9000	4000	19.035	20.871									FALSE	5	NP	F	0	-	480		FALSE	7	NP	F	0	-	630		TRUE	8	FC	AAA	1269	2	670	1.90350000E+001									FALSE	5	NP	F	0	-	480		FALSE	11	HC	AA	1546	33	964	2.08710000E+001																	
Hitch Hiker2	Bits	Bits	4500	7500	8000	27.765	25.665									FALSE	4	NP	F	0	-	420		FALSE	6	NP	F	0	-	609		TRUE	7	FC	AAA	1268	1	665		TRUE	9	FC	AAA	1851	3	976	2.77650000E+001	FALSE	5	NP	F	0	-	518		FALSE	9	EX	AAA	1574	9	880		TRUE	9	EX	AAA	1600	14	864		TRUE	10	EX	AAA	1770	12	975	2.56650000E+001	
SWEET LAB	Bits	Bits	4500	8000	11000	18.6	14.157									FALSE	3	NP	F	0	-	280		FALSE	6	NP	F	0	-	496		TRUE	10	FC	AAA	1240	1	692	1.86000000E+001									FALSE	6	NP	F	0	-	445		FALSE	10	NP	F	0	-	674		TRUE	12	HC	A	1089	35	719	1.41570000E+001									
DIAMOND JEALOUSY	Bits	Bits	4500	6000		15.84	15.81									FALSE	5	NP	F	0	-	343		FALSE	6	FC	AAA	1056	0	546	1.58400000E+001																	FALSE	4	NP	F	0	-	340		FALSE	6	FC	AAA	1054	0	542	1.58100000E+001																	
Under Construction	Bits	Bits	5000	7000	8000	16.665	20.474									FALSE	5	NP	F	0	-	417		FALSE	7	NP	F	0	-	507		TRUE	8	FC	AAA	1111	0	582	1.66650000E+001									FALSE	5	NP	F	0	-	417		FALSE	7	NP	F	0	-	569		TRUE	8	EX	AAA	1412	8	754	2.04740000E+001									
FLOWERS for ALBION	Base	Base	0	0		6.33	5.985									FALSE	2	NP	F	0	-	122		FALSE	5	FC	AAA	422	0	222	6.33000000E+000																	FALSE	5	NP	F	0	-	190		FALSE	7	FC	AAA	399	1	222	5.98500000E+000																	
Jam&Marmalade	Bits	Bits	5000	6500	4000	14.49	12.885									FALSE	6	NP	F	0	-	388		FALSE	7	NP	F	0	-	456		TRUE	8	FC	AAA	966	1	512	1.44900000E+001									FALSE	4	NP	F	0	-	327		FALSE	6	FC	AAA	859	1	451	1.28850000E+001																	
