title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
STULTI	Sub	TRI3	0	0	0	29.97	21.07									FALSE	5	NP	F	0	-	415		FALSE	10	NP	F	0	-	867		TRUE	12	HC	AA	2220	26	1416	2.99700000E+001									FALSE	5	NP	F	0	-	494		FALSE	10	EX	AA	1505	12	936	2.10700000E+001	TRUE	12	EC	B	1994	89	1496										
ZED	Sub	TRI2	0	0	0	36.221	32.2785									FALSE	5	NP	F	0	-	474		FALSE	8	NP	F	0	-	876		TRUE	11	EX	AAA	2498	9	1405	3.62210000E+001									FALSE	5	FC	AAA	1013	0	534		FALSE	8	NP	F	0	-	818		TRUE	11	HC	AA	2391	41	1479	3.22785000E+001									
Shining World	Sub	TRI3	0	0	0	28.485	35.96									FALSE	6	FC	AAA	1214	0	632		FALSE	8	NP	F	0	-	811		TRUE	9	FC	AAA	1899	0	976	2.84850000E+001									FALSE	4	NP	F	0	-	568		FALSE	7	FC	AAA	1333	2	726		TRUE	9	EX	AAA	2480	4	1296	3.59600000E+001									
Neonlights	Sub	TRI1	0	0	0	30.305	26.194									FALSE	4	NP	F	0	-	333		FALSE	8	NP	F	0	-	815		TRUE	10	EX	AAA	2090	3	1127	3.03050000E+001									FALSE	4	NP	F	0	-	346		FALSE	10	EX	AA	1634	11	967		TRUE	11	EX	AA	1871	15	1121	2.61940000E+001									
Timepiece phase II	Sub	TRI1	0	0	0	38.262	25.65									FALSE	5	NP	F	0	-	546		FALSE	10	NP	F	0	-	1161		TRUE	12	EX	AA	2733	8	1665	3.82620000E+001									FALSE	6	NP	F	0	-	522		FALSE	11	HC	AA	1900	31	1180	2.56500000E+001	TRUE	12	EC	B	2090	147	1571										
LUV CAN SAVE U	Sub	TRI3	0	0	0	37.932	41.552									FALSE	3	NP	F	0	-	295		FALSE	7	NP	F	0	-	720		TRUE	9	FC	AAA	2039	2	1069		TRUE	10	EX	AAA	2616	5	1409	3.79320000E+001	FALSE	3	NP	F	0	-	300		FALSE	6	NP	F	0	-	699		TRUE	10	EX	AA	2503	10	1416		TRUE	11	HC	AAA	2968	21	1644	4.15520000E+001	
虹色の花	Sub	TRI1	0	0	0	31.291	31.428									FALSE	4	NP	F	0	-	460		FALSE	8	NP	F	0	-	814		TRUE	10	EX	AAA	2158	1	1142	3.12910000E+001									FALSE	4	NP	F	0	-	446		FALSE	8	NP	F	0	-	878		TRUE	11	HC	AA	2328	25	1367	3.14280000E+001									
DAY DREAM	Bits	Bits	5500	10000	12000	24.416	18.122									FALSE	5	NP	F	0	-	295		FALSE	10	NP	F	0	-	685		TRUE	12	EX	AA	1744	16	1075	2.44160000E+001									FALSE	6	NP	F	0	-	318		FALSE	10	NP	F	0	-	644		TRUE	12	HC	A	1394	41	1018	1.81220000E+001									
JOMANDA	Sub	TRI3	0	0	0	40.4325	30.48									FALSE	6	FC	AAA	1085	0	595		FALSE	10	NP	F	0	-	1300		TRUE	12	HC	AA	2995	31	1918	4.04325000E+001									FALSE	6	NP	F	0	-	598		FALSE	10	HC	AA	2168	21	1317		TRUE	12	NC	A	2540	109	1810	3.04800000E+001									
New Decade IIDX Edition	Sub	TRI1	0	0	0	37.562	33.6555									FALSE	5	NP	F	0	-	503		FALSE	9	NP	F	0	-	1001		TRUE	11	EX	AA	2683	13	1539	3.75620000E+001									FALSE	5	NP	F	0	-	533		FALSE	9	EX	AAA	1723	5	948		TRUE	11	HC	AA	2493	26	1461	3.36555000E+001									
Hollywood Galaxy	Sub	TRI2	0	0	0	31.833	26.9375									FALSE	5	NP	F	0	-	567		FALSE	10	NP	F	0	-	1039		TRUE	12	HC	AA	2358	23	1392	3.18330000E+001									FALSE	6	NP	F	0	-	579		FALSE	9	NP	F	0	-	1022		TRUE	12	NC	AA	2155	65	1378	2.69375000E+001									
neu	Sub	LC2	0	0	0	46.6155	32.395									FALSE	6	NP	F	0	-	504		FALSE	10	NP	F	0	-	1099		TRUE	12	HC	AA	3453	25	1999	4.66155000E+001									FALSE	6	EX	AAA	986	1	521		FALSE	10	NP	F	0	-	999		TRUE	12	F	A	2945	152	1999	3.23950000E+001									
YELLOW FROG from Steel Chronicle	Sub	TRI1	0	0	0	27.765	29.1015									FALSE	3	NP	F	0	-	295		FALSE	7	NP	F	0	-	643		TRUE	9	FC	AAA	1851	1	963	2.77650000E+001	TRUE	11	NP	F	0	-	1408		FALSE	4	NP	F	0	-	367		FALSE	6	NP	F	0	-	667		TRUE	10	EX	AAA	2007	7	1062	2.91015000E+001	TRUE	12	F	AA	2458	169	1526		
Reflection Into the EDEN	Sub	TRI3	0	0	0	28.594	30.456									FALSE	4	NP	F	0	-	404		FALSE	7	NP	F	0	-	740		TRUE	10	EX	AAA	1972	5	1100	2.85940000E+001									FALSE	5	FC	AAA	1000	0	539		FALSE	7	NP	F	0	-	806		TRUE	10	HC	AA	2256	24	1283	3.04560000E+001									
Time To Empress	Base	Base	0	0	0	37.215	34.479									FALSE	4	NP	F	0	-	467		FALSE	9	NP	F	0	-	983		TRUE	10	FC	AAA	2481	1	1324	3.72150000E+001									FALSE	7	NP	F	0	-	726		FALSE	9	NP	F	0	-	1138		TRUE	11	HC	AA	2554	25	1497	3.44790000E+001									
たまゆら	Sub	TRI2	0	0	0	35.014	32.1435									FALSE	7	NP	F	0	-	600		FALSE	10	F	F	0	-	960		TRUE	12	EX	AA	2501	8	1407	3.50140000E+001									FALSE	6	NP	F	0	-	602		FALSE	10	EX	AA	2022	16	1159		TRUE	12	HC	AA	2381	56	1441	3.21435000E+001									
Saturn	Sub	TRI2	0	0	0	35.206	32.2245									FALSE	7	NP	F	0	-	693		FALSE	10	NP	F	0	-	1040		TRUE	11	EX	AAA	2428	2	1332	3.52060000E+001									FALSE	6	NP	F	0	-	711		FALSE	10	NP	F	0	-	1091		TRUE	11	HC	AA	2387	40	1470	3.22245000E+001									
Cookie Bouquets	Sub	TRI2	0	0	0	45.907	46.158									FALSE	5	NP	F	0	-	446		FALSE	9	FC	AAA	2030	1	1076		TRUE	11	EX	AAA	3166	7	1714	4.59070000E+001									FALSE	7	NP	F	0	-	655		FALSE	10	NP	F	0	-	1119		TRUE	11	HC	AAA	3297	22	1814	4.61580000E+001									
mnemoniq	Sub	TRI3	0	0	0	18.6	21.0105									FALSE	4	NP	F	0	-	269		FALSE	5	NP	F	0	-	488		TRUE	8	FC	AAA	1240	0	658	1.86000000E+001									FALSE	5	NP	F	0	-	396		FALSE	8	NP	F	0	-	635		TRUE	9	EX	AAA	1449	7	799	2.10105000E+001									
お米の美味しい炊き方、そしてお米を食べることによるその効果。	Sub	TRI1	0	0	0	29.8265	24.84									FALSE	5	NP	F	0	-	459		FALSE	8	NP	F	0	-	812		TRUE	10	EX	AAA	2057	3	1122	2.98265000E+001									FALSE	5	EX	AAA	949	3	517		FALSE	9	NP	F	0	-	805		TRUE	10	HC	AA	1840	16	1085	2.48400000E+001									
創世ノート	Sub	TRI1	0	0	0	36.792	28.6335									FALSE	4	NP	F	0	-	430		FALSE	9	NP	F	0	-	988		TRUE	11	EX	AA	2628	6	1512	3.67920000E+001									FALSE	4	NP	F	0	-	464		FALSE	9	EX	AAA	1694	12	952		TRUE	11	HC	AA	2121	36	1265	2.86335000E+001									
Synergy For Angels	Sub	TRI1	0	0	0	37.3665	33.183									FALSE	4	NP	F	0	-	466		FALSE	8	NP	F	0	-	860		TRUE	11	EX	AAA	2577	3	1400	3.73665000E+001									FALSE	4	NP	F	0	-	469		FALSE	8	NP	F	0	-	850		TRUE	11	HC	AA	2458	15	1496	3.31830000E+001									
Empathetic	Sub	TRI2	0	0	0	30.0875	27.7965									FALSE	4	NP	F	0	-	358		FALSE	7	NP	F	0	-	716		TRUE	10	EX	AAA	2075	4	1085	3.00875000E+001									FALSE	4	NP	F	0	-	411		FALSE	8	NP	F	0	-	809		TRUE	11	HC	AA	2059	25	1161	2.77965000E+001									
GAIA	Sub	TRI3	0	0	0	41.594	25.6095									FALSE	5	NP	F	0	-	527		FALSE	10	EX	AA	2029	1	1149		TRUE	12	EX	AA	2971	4	1676	4.15940000E+001									FALSE	5	NP	F	0	-	610		FALSE	10	NP	F	0	-	1074		TRUE	12	EC	B	2439	115	1854	2.56095000E+001									
Zirkfied	Bits	Bits	5000	10000	12000	42.3495	29.216									FALSE	5	NP	F	0	-	524		FALSE	10	NP	F	0	-	1055		TRUE	12	HC	AA	3137	43	1968	4.23495000E+001									FALSE	5	NP	F	0	-	518		FALSE	10	NP	F	0	-	1044		TRUE	12	F	A	2656	130	1897	2.92160000E+001									
examination leave	Sub	TRI1	0	0	0	45.936	37.8675									FALSE	6	NP	F	0	-	585		FALSE	9	NP	F	0	-	972		TRUE	11	EX	AAA	3168	4	1712	4.59360000E+001									FALSE	6	EX	AAA	1315	5	704		FALSE	10	NP	F	0	-	1148		TRUE	11	HC	AA	2805	20	1613	3.78675000E+001									
VALLIS-NERIA	Sub	TRI2	0	0	0	39.788	40.768									FALSE	6	NP	F	0	-	623		FALSE	10	NP	F	0	-	1076		TRUE	11	EX	AAA	2744	7	1507	3.97880000E+001									FALSE	7	NP	F	0	-	667		FALSE	10	NP	F	0	-	1169		TRUE	11	HC	AAA	2912	37	1619	4.07680000E+001									
Valanga	Base	Base	0	0	0	43.094	33.828									FALSE	7	NP	F	0	-	674		FALSE	10	NP	F	0	-	1126		TRUE	12	EX	AAA	2972	12	1647	4.30940000E+001									FALSE	6	NP	F	0	-	644		FALSE	10	NP	F	0	-	1142		TRUE	12	EC	AA	2819	91	1807	3.38280000E+001									
梅雪夜	Sub	TRI3	0	0	0	30.45	30.0875									FALSE	5	NP	F	0	-	445		FALSE	7	NP	F	0	-	759		TRUE	10	FC	AAA	2030	0	1081	3.04500000E+001									FALSE	5	NP	F	0	-	425		FALSE	8	NP	F	0	-	771		TRUE	10	EX	AAA	2075	4	1108	3.00875000E+001									
音楽	Sub	TRI1	0	0	0	31.32	27.222									FALSE	5	NP	F	0	-	453		FALSE	10	NP	F	0	-	1038		TRUE	12	HC	AA	2320	23	1487	3.13200000E+001									FALSE	5	NP	F	0	-	500		FALSE	10	NP	F	0	-	949		TRUE	12	HC	A	2094	39	1369	2.72220000E+001									
朧	Sub	TRI1	0	0	0	33.7415	28.7245									FALSE	4	NP	F	0	-	395		FALSE	7	NP	F	0	-	758		TRUE	10	FC	AAA	2048	0	1060		TRUE	11	EX	AAA	2327	2	1280	3.37415000E+001	FALSE	4	FC	AAA	817	0	413		FALSE	7	NP	F	0	-	759		TRUE	10	EX	AAA	1981	9	1082	2.87245000E+001	TRUE	11	HC	AA	2110	21	1257		
シュレーディンガーの猫	Sub	TRI3	0	0	0	44.4425	28.244									FALSE	6	NP	F	0	-	580		FALSE	10	NP	F	0	-	1231		TRUE	12	EX	AAA	3065	7	1717	4.44425000E+001									FALSE	7	NP	F	0	-	614		FALSE	10	NP	F	0	-	1198		TRUE	12	EC	A	2456	109	1685	2.82440000E+001									
SHION	Sub	TRI1	0	0	0	39.27	35.3295									FALSE	4	NP	F	0	-	338		FALSE	7	NP	F	0	-	656		TRUE	10	FC	AAA	2618	1	1359	3.92700000E+001									FALSE	4	NP	F	0	-	393		FALSE	7	NP	F	0	-	810		TRUE	11	HC	AA	2617	33	1482	3.53295000E+001									
rainbow guitar weeps	Sub	SPA1	0	0	0	39.165	32.058									FALSE	5	NP	F	0	-	492		FALSE	9	NP	F	0	-	951		TRUE	11	FC	AAA	2611	0	1406	3.91650000E+001									FALSE	6	NP	F	0	-	610		FALSE	9	NP	F	0	-	998		TRUE	12	HC	A	2466	47	1683	3.20580000E+001									
旋律のドグマ～Misérables～	Sub	SPA2	0	0	0	48.496	31.7055									FALSE	6	NP	F	0	-	629		FALSE	10	NP	F	0	-	1271		TRUE	12	EX	AA	3464	7	2002	4.84960000E+001									FALSE	6	NP	F	0	-	691		FALSE	10	NP	F	0	-	1362		TRUE	12	EC	A	2757	107	1974	3.17055000E+001									
EXTREME MACH COLLIDER	Base	Base	0	0	0	34.7565	24.192									FALSE	5	NP	F	0	-	527		FALSE	8	NP	F	0	-	763		TRUE	11	EX	AAA	2397	1	1305	3.47565000E+001									FALSE	5	NP	F	0	-	485		FALSE	9	NP	F	0	-	852		TRUE	10	EX	AA	1728	10	1007	2.41920000E+001									
Element of SPADA	Sub	SPA2	0	0	0	30.78	40.152									FALSE	3	NP	F	0	-	355		FALSE	7	FC	AAA	1332	0	686		TRUE	9	FC	AAA	2052	0	1047	3.07800000E+001	TRUE	11	NP	F	0	-	1560		FALSE	3	NP	F	0	-	355		FALSE	6	EX	AAA	1309	5	686		TRUE	9	EX	AAA	2351	4	1217		TRUE	11	HC	AAA	2868	29	1571	4.01520000E+001	
DARK LEGACY	Sub	SPA1	0	0	0	47.647	34.8									FALSE	6	FC	AAA	1237	0	675		FALSE	9	NP	F	0	-	1077		TRUE	12	EX	AAA	3286	10	1828	4.76470000E+001									FALSE	7	NP	F	0	-	894		FALSE	9	NP	F	0	-	1127		TRUE	12	EC	AA	2900	62	1853	3.48000000E+001									
牧神笛吹きて	Sub	SPA1	0	0	0	28.845	26.6075									FALSE	4	NP	F	0	-	377		FALSE	8	NP	F	0	-	721		TRUE	11	FC	AAA	1923	2	1044	2.88450000E+001									FALSE	4	NP	F	0	-	379		FALSE	8	NP	F	0	-	748		TRUE	11	EX	AAA	1835	9	1026	2.66075000E+001									
Critical Crystal	Sub	SPA2	0	0	0	36.96	33.426									FALSE	6	NP	F	0	-	565		FALSE	8	EX	AAA	1707	6	946		TRUE	11	EX	AA	2640	12	1495	3.69600000E+001									FALSE	6	NP	F	0	-	574		FALSE	9	NP	F	0	-	975		TRUE	11	HC	AA	2476	38	1429	3.34260000E+001									
Insane Techniques	Sub	SPA1	0	0	0	32.8425	27.594									FALSE	4	NP	F	0	-	378		FALSE	7	NP	F	0	-	672		TRUE	11	EX	AAA	2265	11	1263	3.28425000E+001									FALSE	4	NP	F	0	-	385		FALSE	8	NP	F	0	-	812		TRUE	10	HC	AA	2044	42	1251	2.75940000E+001									
esrev:eR	Sub	SPA2	0	0	0	27.255	27.9125									FALSE	4	NP	F	0	-	395		FALSE	7	NP	F	0	-	693		TRUE	9	FC	AAA	1817	0	968	2.72550000E+001									FALSE	6	NP	F	0	-	565		FALSE	8	NP	F	0	-	862		TRUE	9	EX	AAA	1925	12	1063	2.79125000E+001									
WOBBLE IMPACT	Sub	SPA2	0	0	0	32.9875	27.3645									FALSE	3	FC	AAA	627	0	327		FALSE	7	FC	AAA	1448	0	789		TRUE	10	EX	AAA	2275	1	1253	3.29875000E+001									FALSE	3	FC	AAA	653	0	348		FALSE	8	NP	F	0	-	893		TRUE	11	HC	AA	2027	43	1289	2.73645000E+001									
罪と罰	Sub	SPA1	0	0	0	31.14	31.3635									FALSE	5	FC	AAA	1068	0	555		FALSE	7	NP	F	0	-	711		TRUE	10	FC	AAA	2076	1	1096	3.11400000E+001									FALSE	6	NP	F	0	-	672		FALSE	8	EX	AAA	1622	2	896		TRUE	10	EX	AAA	2163	6	1216	3.13635000E+001									
Close the World feat.a☆ru	Sub	SPA2	0	0	0	43.1865	35.91									FALSE	5	FC	AAA	1138	0	578		FALSE	10	EX	AAA	1977	6	1075		TRUE	12	EX	AA	3025	10	1739		TRUE	12	HC	AA	3199	36	1983	4.31865000E+001	FALSE	5	NP	F	0	-	433		FALSE	9	FC	AAA	1669	4	912		TRUE	12	HC	AA	2660	42	1610	3.59100000E+001	TRUE	12	EC	A	2618	109	1851		
MAGIC & LOVE	Sub	SPA1	0	0	0	38.338	41.846									FALSE	5	NP	F	0	-	517		FALSE	9	NP	F	0	-	942		TRUE	11	EX	AAA	2644	9	1481	3.83380000E+001									FALSE	4	NP	F	0	-	470		FALSE	8	NP	F	0	-	765		TRUE	11	HC	AAA	2989	20	1628	4.18460000E+001									
Miracle 5ympho X	Sub	SPA2	0	0	0	35.438	34.8975									FALSE	5	FC	AAA	750	0	390		FALSE	8	NP	F	0	-	674		TRUE	10	EX	AAA	2444	4	1325	3.54380000E+001									FALSE	6	NP	F	0	-	446		FALSE	9	EX	AAA	1763	14	978		TRUE	11	HC	AA	2585	32	1489	3.48975000E+001									
Elektrick U-Phoria	Sub	SPA1	0	0	0	42.166	34.658									FALSE	6	NP	F	0	-	593		FALSE	9	NP	F	0	-	1004		TRUE	11	EX	AAA	2908	7	1566	4.21660000E+001	TRUE	12	NP	F	0	-	2050		FALSE	5	NP	F	0	-	654		FALSE	8	NP	F	0	-	1048		TRUE	12	HC	A	2666	62	1763	3.46580000E+001	TRUE	12	NP	F	0	-	2164		
死神自爆中二妹アイドルももかりん(1歳)	Sub	SPA1	0	0	0	38.425	33.507									FALSE	4	FC	AAA	827	1	448		FALSE	7	NP	F	0	-	742		TRUE	11	EX	AAA	2650	2	1472	3.84250000E+001									FALSE	4	NP	F	0	-	477		FALSE	8	FC	AAA	1473	1	790		TRUE	11	HC	AA	2482	22	1413	3.35070000E+001									
Overload Frontier	Sub	SPA2	0	0	0	32.872	27.5265									FALSE	5	NP	F	0	-	404		FALSE	8	EX	AAA	1761	1	954		TRUE	11	EX	AA	2348	7	1336	3.28720000E+001									FALSE	6	NP	F	0	-	522		FALSE	9	NP	F	0	-	1006		TRUE	11	HC	AA	2039	36	1249	2.75265000E+001									
Adularia	Sub	SPA2	0	0	0	39.975	29.4705									FALSE	6	FC	AAA	1047	0	540		FALSE	10	EX	AAA	1777	3	972		TRUE	12	FC	AAA	2665	0	1449	3.99750000E+001									FALSE	6	NP	F	0	-	524		FALSE	10	EX	AA	1594	13	946		TRUE	12	HC	AA	2183	39	1382	2.94705000E+001									
Valgus	Sub	SPA1	0	0	0	33.93	28.782									FALSE	4	NP	F	0	-	330		FALSE	7	NP	F	0	-	685		TRUE	11	FC	AAA	2262	2	1206	3.39300000E+001									FALSE	4	NP	F	0	-	348		FALSE	7	NP	F	0	-	734		TRUE	11	HC	AA	2132	33	1212	2.87820000E+001									
Odin	Sub	SPA2	0	0	0	29.685	30.6095									FALSE	4	NP	F	0	-	408		FALSE	7	NP	F	0	-	721		TRUE	10	FC	AAA	1979	1	1039	2.96850000E+001									FALSE	5	FC	AAA	793	0	438		FALSE	7	NP	F	0	-	709		TRUE	10	EX	AAA	2111	9	1140	3.06095000E+001									
MAD ATTACK	Sub	SPA1	0	0	0	27.54	27.986									FALSE	3	NP	F	0	-	348		FALSE	6	NP	F	0	-	683		TRUE	9	FC	AAA	1836	2	991	2.75400000E+001									FALSE	3	NP	F	0	-	383		FALSE	6	NP	F	0	-	719		TRUE	10	EX	AA	1999	9	1136	2.79860000E+001									
Funny shuffle	Sub	SPA2	0	0	0	31.1025	28.539									FALSE	3	NP	F	0	-	309		FALSE	6	FC	AAA	1079	0	590		TRUE	11	EX	AAA	2145	5	1199	3.11025000E+001									FALSE	4	FC	AAA	587	0	308		FALSE	7	NP	F	0	-	639		TRUE	11	HC	AA	2114	38	1312	2.85390000E+001									
NPC World	Sub	SPA1	0	0	0	30.4935	28.252									FALSE	5	NP	F	0	-	522		FALSE	8	NP	F	0	-	826		TRUE	10	EX	AAA	2103	9	1155	3.04935000E+001									FALSE	5	NP	F	0	-	496		FALSE	9	EX	AAA	1757	10	970		TRUE	10	EX	AA	2018	15	1174	2.82520000E+001									
Lighting Shower	Sub	SPA1	0	0	0	31.9145	29.079									FALSE	4	NP	F	0	-	418		FALSE	7	NP	F	0	-	694		TRUE	11	EX	AAA	2201	4	1220	3.19145000E+001									FALSE	4	NP	F	0	-	383		FALSE	7	NP	F	0	-	686		TRUE	11	HC	AA	2154	26	1288	2.90790000E+001									
m1dy Deluxe	Sub	SPA2	0	0	0	32.326	28.215									FALSE	6	FC	AAA	1127	1	598		FALSE	9	EX	AAA	1698	2	951		TRUE	11	EX	AA	2309	9	1342	3.23260000E+001									FALSE	6	NP	F	0	-	627		FALSE	9	NP	F	0	-	931		TRUE	11	HC	AA	2090	29	1332	2.82150000E+001									
LA FESTA LA VITA!!	Sub	SPA1	0	0	0	38.193	34.56									FALSE	5	NP	F	0	-	443		FALSE	9	NP	F	0	-	915		TRUE	11	EX	AAA	2634	7	1461	3.81930000E+001									FALSE	5	NP	F	0	-	469		FALSE	9	NP	F	0	-	1069		TRUE	11	HC	AA	2560	25	1445	3.45600000E+001									
廿	Sub	SPA1	0	0	0	33.9	31.487									FALSE	5	FC	AAA	921	0	485		FALSE	8	NP	F	0	-	890		TRUE	10	FC	AAA	2260	5	1215	3.39000000E+001	TRUE	12	F	C	1627	-	1731		FALSE	5	NP	F	0	-	485		FALSE	8	NP	F	0	-	938		TRUE	10	HC	AAA	2186	18	1190		TRUE	12	EC	A	2738	63	1782	3.14870000E+001	
超!!遠距離らぶ♡メ～ル	Sub	SPA2	0	0	0	35.5395	32.9805									FALSE	3	NP	F	0	-	292		FALSE	7	NP	F	0	-	790		TRUE	10	EX	AAA	2451	6	1352	3.55395000E+001									FALSE	4	NP	F	0	-	363		FALSE	7	NP	F	0	-	879		TRUE	11	HC	AA	2443	30	1450	3.29805000E+001									
煉獄のエルフェリア	Sub	SPA1	0	0	0	35.94	27.189									FALSE	7	NP	F	0	-	698		FALSE	10	NP	F	0	-	1222		TRUE	12	NC	A	2995	79	2000	3.59400000E+001									FALSE	7	NP	F	0	-	725		FALSE	10	HC	AA	2014	43	1265	2.71890000E+001	TRUE	12	F	B	2341	186	1945										
INSOMNIA	Base	Base	0	0	0	37.5435	29.2675									FALSE	4	NP	F	0	-	407		FALSE	8	NP	F	0	-	938		TRUE	12	HC	AA	2781	45	1661	3.75435000E+001									FALSE	4	EX	AAA	849	1	443		FALSE	8	EX	AA	1694	14	991		TRUE	12	EC	A	2545	136	1722	2.92675000E+001									
RISE	Sub	SPA2	0	0	0	25.4185	25.41									FALSE	5	NP	F	0	-	480		FALSE	8	NP	F	0	-	701		TRUE	10	EX	AAA	1753	3	951	2.54185000E+001									FALSE	5	NP	F	0	-	496		FALSE	8	NP	F	0	-	732		TRUE	10	EX	AA	1815	12	1038	2.54100000E+001									
Give Me Your Love	Sub	SPA2	0	0	0	26.91	26.97									FALSE	4	FC	AAA	630	0	331		FALSE	7	FC	AAA	1346	0	696		TRUE	9	FC	AAA	1794	1	946	2.69100000E+001									FALSE	4	NP	F	0	-	415		FALSE	7	NP	F	0	-	686		TRUE	10	EX	AAA	1860	12	1027	2.69700000E+001									
ALBA -黎明-	Sub	SPA1	0	0	0	45.645	37.449									FALSE	5	NP	F	0	-	330		FALSE	8	FC	AAA	1529	1	787		TRUE	11	FC	AAA	3043	1	1631	4.56450000E+001									FALSE	4	NP	F	0	-	398		FALSE	8	NP	F	0	-	820		TRUE	11	HC	AA	2774	23	1600	3.74490000E+001									
お願いアインシュタイン	Sub	SPA2	0	0	0	30.315	28.565									FALSE	5	FC	AAA	887	0	457		FALSE	8	EX	AAA	1412	6	753		TRUE	10	FC	AAA	2021	0	1066	3.03150000E+001									FALSE	5	NP	F	0	-	437		FALSE	8	EX	AAA	1388	7	736		TRUE	10	EX	AAA	1970	9	1041	2.85650000E+001									
diagram	Sub	SPA2	0	0	0	37.8885	31.6305									FALSE	3	NP	F	0	-	318		FALSE	7	EX	AAA	1230	1	660		TRUE	11	EX	AAA	2613	7	1461	3.78885000E+001									FALSE	4	NP	F	0	-	400		FALSE	7	NP	F	0	-	636		TRUE	11	HC	AA	2343	29	1419	3.16305000E+001									
refractive index	Sub	SPA1	0	0	0	36.366	33.021									FALSE	3	NP	F	0	-	374		FALSE	7	NP	F	0	-	731		TRUE	11	EX	AAA	2508	3	1360	3.63660000E+001									FALSE	4	NP	F	0	-	405		FALSE	7	NP	F	0	-	761		TRUE	11	HC	AA	2446	25	1415	3.30210000E+001									
Hypersonik	Sub	SPA1	0	0	0	35.1	32.228									FALSE	5	NP	F	0	-	521		FALSE	8	NP	F	0	-	878		TRUE	10	FC	AAA	2340	3	1272	3.51000000E+001									FALSE	5	NP	F	0	-	544		FALSE	8	NP	F	0	-	897		TRUE	11	HC	AAA	2302	9	1252	3.22280000E+001									
Last Dance	Sub	SPA2	0	0	0	42.717	25.737									FALSE	6	NP	F	0	-	616		FALSE	10	NP	F	0	-	1040		TRUE	12	EX	AAA	2946	12	1650	4.27170000E+001									FALSE	6	NP	F	0	-	614		FALSE	10	NP	F	0	-	1137		TRUE	12	EC	A	2238	111	1678	2.57370000E+001									
All is Wrecked	Sub	SPA1	0	0	0	31.822	25.8									FALSE	5	FC	AAA	866	0	465		FALSE	8	NP	F	0	-	754		TRUE	11	EX	AA	2273	11	1289	3.18220000E+001									FALSE	5	NP	F	0	-	451		FALSE	8	NP	F	0	-	768		TRUE	12	NC	A	2150	52	1411	2.58000000E+001									
ra'am	Bits	Bits	7500	10000	12000	31.59	22.088									FALSE	8	FC	AA	1092	0	653		FALSE	10	EX	AA	1628	6	1003		TRUE	12	HC	AA	2340	19	1461	3.15900000E+001									FALSE	7	EX	AAA	1303	6	722		FALSE	10	NP	F	0	-	1067		TRUE	12	F	A	2008	112	1500	2.20880000E+001									
疾風迅雷	Bits	Bits	6000	10000	12000	36.652	26.266									FALSE	6	NP	F	0	-	592		FALSE	10	NP	F	0	-	1078		TRUE	12	EX	AA	2618	10	1493	3.66520000E+001	TRUE	12	F	A	2674	122	1824		FALSE	6	NP	F	0	-	556		FALSE	10	NP	F	0	-	1154		TRUE	12	EC	A	2284	107	1670	2.62660000E+001	TRUE	12	F	B	2270	184	1764		
Immortal	Sub	SPA1	0	0	0	37.478	26.8065									FALSE	5	NP	F	0	-	483		FALSE	9	NP	F	0	-	902		TRUE	12	EX	AA	2677	18	1607	3.74780000E+001									FALSE	6	NP	F	0	-	535		FALSE	10	NP	F	0	-	993		TRUE	12	EC	A	2331	91	1592	2.68065000E+001									
Verflucht	Sub	SPA2	0	0	0	43.218	26.397									FALSE	6	FC	AAA	1224	1	647		FALSE	10	FC	AAA	1984	1	1081		TRUE	12	EX	AA	3087	11	1805	4.32180000E+001	TRUE	12	NC	A	3460	67	2401		FALSE	7	NP	F	0	-	643		FALSE	10	NC	AA	1836	18	1094		TRUE	12	EC	B	2514	98	1949	2.63970000E+001	TRUE	12	F	C	2179	214	2093		
BRAVE OUT	Sub	SPA1	0	0	0	31.185	30.436									FALSE	5	FC	AAA	1026	0	528		FALSE	8	NP	F	0	-	773		TRUE	10	FC	AAA	2079	0	1091	3.11850000E+001									FALSE	5	NP	F	0	-	520		FALSE	9	NP	F	0	-	912		TRUE	11	EX	AA	2174	11	1264	3.04360000E+001									
